S.No. ,Name ,CMP Rs. ,MyAvgIV ,IV Rs. ,Mar Cap Rs.Cr. ,EV Rs.Cr. ,Sales Rs.Cr. ,NP 12M Rs.Cr. ,P/E ,5Yrs PE ,EPS 12M Rs. ,PEG ,CMP / BV ,CMP / OCF ,CMP / Sales ,EV / EBITDA ,OPM % ,Debt / Eq ,Int Coverage ,Dividend Payout % ,Avg Div Payout 3Yrs % ,Div Yld % ,ROE 3Yr % ,ROCE3yr avg % ,Current ratio ,Sales Var 5Yrs % ,Profit Var 5Yrs % ,Pledged % ,Prom. Hold. % ,Piotski Scr 
190,Gillette India ,7498.25,6743.37,5575.12,24436.8,24200.17,1793.47,225.28,108.47,95.95,69.13,5.04,33.79,103.09,13.63,60.48,21.34,0,46.58,32.73,101.35,0.31,32.6,49.58,1.44,3.13,21.52,0,75,8
191,Emami ,378.75,355.24,1663.53,17192.8,17439.2,2670.28,307.31,54.6,52.55,6.76,15.38,9.06,29.25,6.44,22.78,28.19,0.16,20.06,51.74,47.39,0.92,23.14,24.78,1.41,8.29,3.55,5.78,62.74,7
192,Dabur India ,380.2,293.99,469.55,67154.39,67785.92,8533.05,1442.33,45.08,38.23,8.17,3.59,11.92,61.67,7.87,33.28,20.39,0.16,31.22,81.29,47.99,1.97,28.62,30.97,1.38,4.59,12.55,0,67.9,6
193,Colgate-Palm. ,1170.85,1095.88,2954.8,31845.44,31389.28,4400.34,766.75,42.32,44.26,28.19,6.55,20.89,45.89,7.24,24.77,28.03,0,,96.95,63.62,2.05,53.94,78.61,1.04,5.77,6.46,0,51,8
194,Britannia Inds. ,2696.15,1654.79,1317.7,64793.41,64807.69,11054.82,1159.17,55.9,39.56,48.25,1.71,15.23,51.88,5.86,33.43,15.66,0.06,195.49,29.89,29.61,0.46,38.22,53.96,1.49,9.89,32.75,0,50.66,5
195,Avanti Feeds ,370.95,398.48,83.61,5054.03,5046.54,3464.38,288.57,17.67,12.16,21.19,0.25,4.75,17.98,1.46,10.47,12.44,0.01,249.91,12.2,17.11,1.08,47.5,72.3,1.75,40.2,71.65,0,43.76,6
S.No. ,Name ,CMP Rs. ,MyAvgIV ,IV Rs. ,Mar Cap Rs.Cr. ,EV Rs.Cr. ,Sales Rs.Cr. ,NP 12M Rs.Cr. ,P/E ,5Yrs PE ,EPS 12M Rs. ,PEG ,CMP / BV ,CMP / OCF ,CMP / Sales ,EV / EBITDA ,OPM % ,Debt / Eq ,Int Coverage ,Dividend Payout % ,Avg Div Payout 3Yrs % ,Div Yld % ,ROE 3Yr % ,ROCE3yr avg % ,Current ratio ,Sales Var 5Yrs % ,Profit Var 5Yrs % ,Pledged % ,Prom. Hold. % ,Piotski Scr 
196,Siemens ,1175.9,1189.46,491.01,41876.18,38230.48,13102.7,931.3,44.97,47.37,26.15,1.17,5.04,992.27,3.2,23.21,10.3,0,212.43,27.88,30.25,0.6,11.05,16.7,1.95,2.31,38.32,0,75,7
197,Larsen & Toubro ,1363.6,1343.67,1603.74,191276.18,290767.73,136751.25,8654.36,22.68,25.55,61.74,1.62,3.39,-19.07,1.4,11.74,16.87,1.94,2.6,30.42,30.59,1.17,13.22,12.14,1.68,9.97,13.97,0,0,4
198,KSB ,667.7,716.59,2554.83,2324.27,2229.45,1093.07,74.03,31.53,33.69,21.27,7.51,3.26,29.95,2.13,14.42,11.74,0.06,30.65,28.22,29.45,0.9,10.81,16.64,1.96,8.42,4.2,0,66.41,7
199,Cummins India ,715.1,746.75,127115.38,19822.57,19603.23,5551.83,742.87,26.68,30.43,26.8,296.44,4.9,31.25,3.57,16.97,15.59,0.06,69.25,58.69,54.32,2.1,20.22,24.6,2.13,2.06,0.09,0,51,5
200,A B B ,1493.25,1949.78,1065.57,31643.22,30175.07,6690.12,510.89,63.09,80.87,24.11,2.76,7.9,50.59,4.73,38.06,6.94,0,11.63,19.91,21.58,0.32,12.34,16.36,0.96,-2.82,22.84,0,75,7
201,Zee Learn ,26.2,95.6,,854.33,1087.34,441.67,64.85,13.17,63.31,1.99,,2.19,3.44,1.93,6.62,32.12,0.73,3.48,6.62,5.41,0.38,11.74,10.24,0.97,21.67,,82.74,57.18,7
202,Whirlpool India ,1393.4,1068.29,993.26,17678.06,16696.21,5301.86,394.34,44.83,38.65,31.06,2,8.94,46.02,3.33,23.33,11.13,0,82.84,14.47,8.91,0.29,22.58,34.59,1.71,12.02,22.43,0,75,6
203,Voltas ,603.5,424.37,396.68,19968.89,19827.49,7109.61,560.95,35.04,24.53,16.96,1.46,5.13,61.39,2.81,23.06,9.66,0.04,31.32,23.12,22.57,0.66,15.59,21.14,1.31,2.98,23.97,0,30.3,6
204,V I P Inds. ,452.05,261.84,226.76,6388.25,6364.45,1712.24,155.04,41.2,30.95,10.97,1.29,11.47,74.4,3.73,25.65,13.98,0,252.96,33.44,38.59,0.66,24.31,35.61,2.17,11.96,31.89,0,53.46,6
205,TTK Prestige ,8062.85,8397.32,31777.74,9313.53,9215.14,1939.53,183.55,50.74,37.79,158.92,12.5,8.84,,4.8,30.4,14.41,0,150.7,13.5,20.91,0.37,17.61,24.3,1.9,6.3,4.06,0,70.41,5
206,Eveready Inds. ,108.7,230.04,16.58,790.03,1032.01,1495.76,27.09,15.71,30.55,3.72,0.28,2.13,9.72,0.53,7.95,7.15,0.71,2.3,19.91,13.65,1.38,21.8,21.65,1.43,7.06,56.39,49.8,44.1,7
207,Sobha ,487.9,430.41,-78083.14,4627.53,6839.41,2813.9,249.2,18.57,18.82,26.28,-185.7,2.26,13.09,1.64,10.76,20.12,0.84,2.71,30.61,19.93,1.43,6.6,9.32,1.99,8.34,-0.1,18.84,55.97,7
208,Puravankara ,74,59.71,-62.66,1754.84,4001.19,1692.36,100.12,17.53,15.51,4.22,-0.93,0.98,-60.52,1.04,8.82,21.46,0.99,1.45,0,21.25,2.16,4.11,8.92,3,2.58,-18.89,0,75,2
209,Prestige Estates ,265.45,235.52,980.51,9954.38,16631.38,5110,389,31.15,23.79,10.23,5.99,2.47,11.2,1.95,11.28,26.2,1.57,1.76,12.12,12.16,0.45,8.59,9.79,1.4,23.07,5.2,0,70,6
210,NCC ,96.75,377.3,47.12,5811.26,7754.47,11750.65,438.68,12.14,134.27,7.29,0.4,1.36,9.92,0.49,5.11,12.06,0.5,2.61,35.62,44.5,1.03,3.43,11.51,1.72,3.78,30.05,42.72,18.11,6
S.No. ,Name ,CMP Rs. ,MyAvgIV ,IV Rs. ,Mar Cap Rs.Cr. ,EV Rs.Cr. ,Sales Rs.Cr. ,NP 12M Rs.Cr. ,P/E ,5Yrs PE ,EPS 12M Rs. ,PEG ,CMP / BV ,CMP / OCF ,CMP / Sales ,EV / EBITDA ,OPM % ,Debt / Eq ,Int Coverage ,Dividend Payout % ,Avg Div Payout 3Yrs % ,Div Yld % ,ROE 3Yr % ,ROCE3yr avg % ,Current ratio ,Sales Var 5Yrs % ,Profit Var 5Yrs % ,Pledged % ,Prom. Hold. % ,Piotski Scr 
211,Kajaria Ceramics ,602.7,450.64,551.64,9579.93,9667.87,2890.93,226.54,41.9,30.49,14.26,2.42,6.64,40.21,3.31,20.87,15.45,0.13,21.93,20.3,18.78,0.5,22.72,31.1,1.73,11.35,17.33,0,47.58,6
212,Godrej Propert. ,817.75,421.96,-1551.06,18752.95,22141.08,2813.88,253.16,74.08,38.89,11.11,-8.73,7.6,,6.66,36.92,5.44,1.65,2.47,0,0,0,7.58,5.53,4.45,12.74,-8.49,0,70.83,3
213,DLF ,177.95,1242.49,-2110.99,39277.52,54490.38,7243.32,1130.39,40.58,49.66,6.34,-20.81,1.29,5.42,5.42,21.24,22.01,0.51,1.14,7.99,58.14,0.91,1.44,6.6,3.16,-2.91,-1.95,0,71.91,5
214,Cera Sanitary. ,2819.3,2508.18,2878.32,3666.74,3668.05,1291.44,107.62,34.07,32.54,82.74,2.17,5.78,51.26,2.84,19.06,13.77,0.04,46.11,15.56,14.86,0.43,19.64,28.98,1.63,19.36,15.67,0,54.75,6
215,Century Ply. ,168.75,199.65,108.71,3749.17,4275.69,2224.73,160.32,23.39,28.36,7.21,0.94,4.19,13.23,1.69,13.18,14.38,0.65,5.5,14.2,13.1,0.59,27.65,21.52,3.23,11.7,24.82,0,72.68,5
216,Brigade Enterpr. ,224.85,154.98,190.14,3062.04,6305.15,2646.28,198.3,15.37,15.15,14.59,0.81,1.55,62.85,1.16,8.3,26.79,1.49,2.26,19.55,18.79,0.89,8.36,10.85,1.67,18.19,18.87,0,46.84,4
217,UPL ,970.35,622.51,662.12,49424.07,53168.07,19003,1977,23.44,15.7,38.84,1.07,5.43,17.41,2.6,12.5,20.75,0.72,3.65,20.18,21.17,0.83,28.53,23.14,2.23,13.6,22,2.32,27.88,6
218,Tata Chemicals ,556.5,1521.95,448.66,14177.39,15802.52,11092.02,1915.8,7.33,15.94,75.21,0.37,1.25,7.58,1.28,4.59,18.65,0.55,7.94,23.04,28.11,3.95,12.77,11.82,2.15,-6.94,19.66,0,30.63,7
219,Rallis India ,146,204.21,293.05,2839.24,2830.49,1983.96,155.37,18.27,23.69,7.99,2.29,2.21,68.64,1.43,10.42,12.14,0.02,42.95,29.01,29.15,1.71,16.25,20.81,1.52,4.7,7.97,0,50.09,6
220,Monsanto India ,2444.55,2801.24,1992.5,4219.96,4204.68,669.58,151.67,27.82,31.39,87.87,1.42,5.97,94.4,6.3,23.15,23.84,0,150.27,31.47,38.93,1.23,29.12,31.13,1.48,9.09,19.63,0,81.84,5
221,Coromandel Inter ,427.05,417.45,747.95,12492.38,14670.02,13224.56,720.48,17.03,18.39,24.65,1.9,3.72,48.88,0.94,9.93,10.88,0.87,5.44,28.64,30.61,1.52,18.13,18.28,2.07,3.92,8.98,0.01,61.78,6
222,Bayer Crop Sci. ,4143.65,2823.3,92069.55,14226.64,13808.84,2857.1,304.5,46.72,32.27,88.68,64.89,7.26,117.07,4.98,26.71,16.75,0,40.89,20.57,20.12,0.43,15.59,23.43,3.09,0.2,0.72,0,68.69,6
223,BASF India ,1352.2,1634.18,,5853.67,6712.74,6025.67,81.73,,28.7,18.8,,4.14,20.19,0.97,37.71,2.73,0.65,0.36,5.27,-13.21,0.22,-3.16,3.76,1.65,7.22,1.19,0,73.33,8
224,UltraTech Cem. ,4566,2840.29,-68297.45,125403.38,144664.83,37239.98,2434.72,51.51,35.1,88.67,-48.14,4.42,32.25,3.37,20.02,17.8,0.74,3.28,12.98,11.2,0.23,10.83,12.78,0.73,8.89,-1.07,0,61.69,3
225,Ambuja Cem. ,221.7,342.26,244.75,44021.76,37622.16,26412.08,2282.96,18.42,31.2,11.51,1.33,1.97,25.5,1.67,8.32,15,0,20.52,0,16.77,0,8.25,14.15,1.29,23.24,13.86,0,63.11,7
S.No. ,Name ,CMP Rs. ,MyAvgIV ,IV Rs. ,Mar Cap Rs.Cr. ,EV Rs.Cr. ,Sales Rs.Cr. ,NP 12M Rs.Cr. ,P/E ,5Yrs PE ,EPS 12M Rs. ,PEG ,CMP / BV ,CMP / OCF ,CMP / Sales ,EV / EBITDA ,OPM % ,Debt / Eq ,Int Coverage ,Dividend Payout % ,Avg Div Payout 3Yrs % ,Div Yld % ,ROE 3Yr % ,ROCE3yr avg % ,Current ratio ,Sales Var 5Yrs % ,Profit Var 5Yrs % ,Pledged % ,Prom. Hold. % ,Piotski Scr 
226,ACC ,1633.9,2526.69,3528.81,30682.56,27585.58,15096.14,1616.1,18.99,31.24,86.06,2.56,2.91,27.46,2.03,11.74,13.83,0,19.33,17.31,39.58,0.86,11.28,14.43,1.23,6,7.41,0,54.53,7
227,St Bk of India ,310,0,,276662.95,3172631.46,245747.59,-6486.86,,10.86,-7.53,,1.35,-2.87,1.13,22.16,27.94,15.04,0.94,0,291.97,0,1.42,5.07,1.48,6.39,,0,57.13,1
228,REC Ltd ,142.5,122.36,568.79,28142.58,225160.56,26487.88,5342.38,5.27,5.2,27.05,1.31,0.86,-0.9,1.06,9.8,86.51,5.6,1.51,38.89,33.13,6.42,17.93,10.82,4.74,10.53,4.01,0,52.63,3
229,Power Fin.Corpn. ,114.3,157.92,314.37,30176.13,259161.28,27899.7,5739.82,5.26,7.12,21.74,0.9,0.79,-1.1,1.08,9.37,98.34,5.76,1.43,35.17,42.42,6.82,13.02,10.09,4.86,9,5.82,0,59.05,5
230,Muthoot Finance ,599.65,417.07,845.16,24025.66,44737.79,6549.47,1912.03,12.57,10.18,47.78,1.11,2.73,-458.46,3.67,8.72,77.46,2.73,2.45,23.25,24.38,1.67,19.99,15.93,14.32,2.78,11.37,0,73.49,6
231,LIC Housing Fin. ,484.25,528,544.74,24437.67,166812.66,16588.82,2276.74,10.73,13.84,45.12,0.75,1.6,-1.25,1.47,10.71,93.62,11.45,1.26,17.26,16.73,1.41,18.31,10.1,1.29,14.5,14.22,0,40.31,5
232,Kotak Mah. Bank ,1417.8,983.68,1052.14,270634.72,496073.86,29934.76,7204.13,40.12,30.23,37.78,1.74,5.36,-26.04,9.04,19.26,34.25,4.95,1.67,2.15,2.35,0.05,13.46,8.43,2.55,18.32,23.05,0,29.99,3
233,ICRA ,3124.9,4241.07,3648.63,3015.91,2785.32,326.88,105.65,28.55,41.71,107.59,2.12,4.49,48.97,9.23,16.74,35.49,0,1336.42,29.49,30.82,0.98,16.3,24.93,2.79,4.2,13.47,0,51.87,6
234,ICICI Pru Life ,372.05,379.55,4476.14,53418.36,53214.55,51020.3,1461.35,36.55,35.84,10.18,27.48,7.59,9.39,1.05,31.96,2.17,0,,59.4,65.02,1.8,28.25,30.07,0.79,14.16,1.33,0,74.98,4
235,ICICI Bank ,401.8,187.24,-1514.99,259054.82,985253.63,76132.76,6115.08,42.36,16.1,9.5,-9.97,2.41,13.37,3.4,37.07,-7.03,7.58,1.53,12.5,18.45,0.37,9.71,6,2.78,6.73,-4.25,0,0,5
236,H D F C ,2006.4,2132.4,2321.76,345389.2,663929.92,41364.54,9617.1,35.93,29.38,56.38,2.57,4.88,-6.85,8.35,16.87,95.03,5.21,1.49,27.56,34.61,0.97,19.91,10.53,1.96,10.76,13.96,0,0,5
237,HDFC Bank ,2367.95,1653.51,1828.75,645276.83,1434237.36,98972.05,21078.14,30.61,24.54,78.6,1.45,6.07,24.75,6.52,17.29,65.98,8.58,1.63,19.29,19.4,0.52,18,7.67,3.49,18.01,21.05,0,21.38,5
238,CRISIL ,1441.55,2604.12,3109.71,10415.78,10211.37,1744.33,357.53,29.13,51.71,49.64,3.92,9.17,27.53,5.97,19.01,26.06,0,283.31,59.57,63.64,2.08,30.73,43.81,1.46,9.5,7.44,0,67.53,6
239,CARE Ratings ,984.35,1543.09,1750.32,2900.01,2870.84,329,143.09,20.27,27.99,48.68,2.25,5.32,20.99,8.81,13.42,56.32,0,,99.77,74.82,5.59,30.03,43.67,1.4,10.38,9.02,0,0,5
240,Axis Bank ,757.3,109.97,-336.14,194803.69,762317.73,46614.06,455.82,469.51,61.78,1.78,-11.8,3.03,-5.07,4.18,26.49,36.29,9.52,1.02,0,14.85,0,7.73,5.85,3.44,11.37,-39.78,0,18.2,1
S.No. ,Name ,CMP Rs. ,MyAvgIV ,IV Rs. ,Mar Cap Rs.Cr. ,EV Rs.Cr. ,Sales Rs.Cr. ,NP 12M Rs.Cr. ,P/E ,5Yrs PE ,EPS 12M Rs. ,PEG ,CMP / BV ,CMP / OCF ,CMP / Sales ,EV / EBITDA ,OPM % ,Debt / Eq ,Int Coverage ,Dividend Payout % ,Avg Div Payout 3Yrs % ,Div Yld % ,ROE 3Yr % ,ROCE3yr avg % ,Current ratio ,Sales Var 5Yrs % ,Profit Var 5Yrs % ,Pledged % ,Prom. Hold. % ,Piotski Scr 
241,Interglobe Aviat ,1577.7,1183.52,,60647.87,56519.99,26412.61,-315.81,,20.29,-8.21,,8.58,15.54,2.3,104.83,-2.68,0.35,-0.28,10.29,37.19,0.38,53.18,44.94,1.29,20.13,21.46,0,74.93,6
242,VST Till. Tract. ,1265.85,1916.93,1239.44,1093.64,1076.34,677.69,67.38,16.23,14.79,77.99,0.99,1.93,32.62,1.61,9.33,11.25,0,52.75,38.58,23.91,3.95,18.19,26.17,2.36,9.65,16.34,0,54.31,7
243,TVS Motor Co. ,485.4,418.95,263.6,23061.35,24239.64,18209.92,670.14,34.41,31.5,14.11,1.17,6.89,18.43,1.27,16.82,7.87,0.41,12.93,23.66,23.07,0.68,25,23.48,0.85,16.11,29.47,0,57.4,7
244,Chola Financial ,515.05,486.77,515.83,9667.46,9515.6,3344.77,599.02,16.14,15.24,31.94,1.01,2.9,8.91,2.89,25.02,11.34,0.03,41.89,3.91,4.48,0.24,17.16,10.6,0.32,-15.41,15.99,0.07,48.77,7
245,Tata Motors ,209.45,333.79,14694.31,65572.18,119908.74,307093.11,-27778.67,62.73,12.61,-81.84,-11.22,0.69,2.75,0.21,4.01,9.04,0.93,0.97,0,0.2,0,12.81,10.57,1.02,9.31,-5.59,4.67,38.37,6
246,SKF India ,1957.75,1677.61,3103.45,9678.71,9021.07,2992.28,325.17,29.77,29.11,63.2,3.07,5.02,26.34,3.23,16.02,15.59,0.05,68.53,20.82,24.45,0.64,15.59,23.46,3.52,4.31,9.7,0,52.58,8
247,Motherson Sumi ,141.6,184.49,66.38,44716.35,52308.45,61761.24,1721.56,25.67,36.46,5.06,0.82,4.2,13.7,0.72,8.81,9.08,1.05,9.29,29.66,24.44,1.06,23.71,22.92,1.36,17.35,31.31,3.72,61.73,6
248,Maruti Suzuki ,6710,6371.79,4311.05,202695.68,202735.38,86020.3,7500.6,27.02,24.92,248.3,1.09,4.39,17.2,2.36,14.95,12.76,0,139.07,31.29,27.27,1.19,16.84,23.68,0.43,12.85,24.9,0,56.21,6
249,M & M ,645.8,1038.45,1535.32,80285.38,129635.7,92093.95,7510.39,14.01,17.19,60.41,1.59,2.18,117.75,0.87,8.67,14.36,1.52,2.93,12.41,18.29,1.16,14.01,13.44,1.9,6.04,8.82,2.84,20.44,5
250,JK Tyre & Indust ,86.35,38.96,-38.93,2126.21,7806.77,9948.02,288.13,6.26,13.39,12.71,-0.19,1.03,3.34,0.21,5.71,11.89,2.96,2.13,51.51,26.25,1.6,15.15,12.4,1.58,3.62,-32.7,28.89,56.22,5
251,Hero Motocorp ,2565.4,3801.13,3059.41,51237.94,51096.6,33650.54,3384.87,15.14,20.53,169.49,1.13,3.99,12.87,1.52,9.09,14.65,0,583.64,51.31,49.02,3.7,35.11,49.25,0.68,6.28,13.42,0,34.63,8
252,Exide Inds. ,216.7,190.69,646,18419.5,18332.31,10588.31,844.05,24.03,25.29,9.93,4.07,3.08,35.65,1.74,12.64,13.31,0,187.82,30.52,30.87,1.11,14.23,20.42,1.55,8.84,5.91,0,45.99,5
253,CEAT ,1053.25,682.43,1113.99,4260.41,5045.83,6848.73,265.05,15,11.6,65.54,1.06,1.57,6.31,0.62,7.05,9.86,0.33,6.22,19.55,14.35,1.09,16.38,19.76,1.1,4.53,14.12,0,51.08,5
254,Balkrishna Inds ,894.3,572.68,984.77,17288.36,18099.23,5125.22,790.88,21.86,15.3,40.91,1.5,3.96,22.95,3.37,11.72,25.11,0.2,108.66,20.92,14.61,0.89,18.52,18.95,1.68,6.88,14.53,0,58.3,7
255,Bajaj Auto ,3059.75,2847.47,7553.31,88539.07,87867.18,29613.79,4694.59,18.86,19.53,162.2,2.91,4.34,20.46,2.99,12.62,17.28,0.01,1485.66,41.15,39.78,1.96,26.01,35.93,0.8,4.66,6.48,0,51.18,6
S.No. ,Name ,CMP Rs. ,MyAvgIV ,IV Rs. ,Mar Cap Rs.Cr. ,EV Rs.Cr. ,Sales Rs.Cr. ,NP 12M Rs.Cr. ,P/E ,5Yrs PE ,EPS 12M Rs. ,PEG ,CMP / BV ,CMP / OCF ,CMP / Sales ,EV / EBITDA ,OPM % ,Debt / Eq ,Int Coverage ,Dividend Payout % ,Avg Div Payout 3Yrs % ,Div Yld % ,ROE 3Yr % ,ROCE3yr avg % ,Current ratio ,Sales Var 5Yrs % ,Profit Var 5Yrs % ,Pledged % ,Prom. Hold. % ,Piotski Scr 
256,Asahi India Glas ,235.05,380.48,,5714.07,7069.87,2930.45,198.64,28.15,52.12,8.17,,5.1,12.72,1.95,12.75,18.18,1.28,3.26,20.56,17.86,0.64,20.93,17.65,1.56,6.25,,5.3,54.27,6
257,Apollo Tyres ,201.65,130.3,748.35,11535.39,15597.35,17295.04,845.95,12.5,10.76,14.78,3.16,1.14,6.71,0.67,7.2,11.78,0.48,7.61,23.71,15.56,1.49,13.69,15.06,1.16,3,3.95,15.06,40.9,3
258,Amara Raja Batt. ,658.5,735.76,1099.8,11248,11200.25,6807.12,473.95,23.73,27.06,27.75,2.48,3.6,34.97,1.65,11.38,13.52,0.02,114.32,15.04,14.99,0.63,20.2,29.31,1.97,15.41,9.58,0,52.06,5
259,United Breweries ,1386,1345.17,1235.04,36645.84,36937.74,6314.78,585.74,62.56,90.28,22.16,3.48,12.19,65.2,5.8,30.77,18.6,0.12,30.5,13.42,12.3,0.14,13.7,18.34,1.53,7.55,17.96,18.2,57.72,9
260,United Spirits ,531.1,1243.83,1249.05,38591.79,41722.49,8914.6,743.4,52.12,160.91,10.23,7.63,13.74,40.78,4.33,28.28,12.2,1.3,6.3,0,0,0,14.56,13.04,1.95,-0.3,6.83,3.22,56.76,8
