S.No. ,Name ,CMP Rs. ,Sales Rs.Cr. ,NP 12M Rs.Cr. ,P/E ,OPM % ,EPS 12M Rs. ,Dividend Payout % ,Debt / Eq ,Int Coverage ,Div Yld % ,PEG ,CMP / BV ,Avg Div Payout 3Yrs % ,IV Rs. ,EV Rs.Cr. ,Mar Cap Rs.Cr. ,Altman Z Scr ,Current ratio ,ROE 3Yr % ,Graham Price Rs. ,Sales Var 5Yrs % ,Profit Var 5Yrs % ,EV / EBIT Rs. ,Pledged % ,Prom. Hold. % 
211,Sundaram Finance ,1580.1,2770,556.34,31.55,78.67,50.08,25.02,4.46,1.62,0.76,5.82,4.27,25.46,4664.28,34276.71,17554.91,1.56,6.43,14.28,645.76,4.84,5.42,15.29,0,35.95
212,Supreme Inds. ,1144.2,5150.33,489.69,32.11,15.81,38.56,35.31,0.13,31.31,1.05,3.94,7.15,40.45,2427.77,14745.85,14534.41,11.37,1.62,23.85,372.51,7.85,8.16,20.9,0,49.7
213,Talwal.Better ,32.05,141.38,43.36,2.29,62.02,13.99,17.65,0.93,4.54,4.48,-0.11,0.48,14.96,-23.51,238.17,99.37,1.64,1.56,9.56,145.61,-18.78,-21.8,3.29,45.75,37.36
214,Talwalkars Life. ,147.8,248.62,63.49,7.2,59.36,20.48,4.48,0.86,8.34,0.68,,1.03,,,786.23,458.25,2.26,4.83,,256.72,,,6.82,12.95,37.36
215,Tata Chemicals ,748.25,11359.99,2722.35,7.05,19.97,106.84,23.04,0.55,9,2.94,0.36,1.68,26.11,612.69,20687.55,19062.42,2.55,2.15,12.76,1035.41,-6.94,19.67,6.47,0,30.63
216,Tata Coffee ,110.15,1621.87,173.31,10.96,14.49,9.28,26.28,0.88,5.4,1.36,-3.36,1.78,24.97,-499.18,2964.29,2057.27,2.11,1.72,11.3,113.56,-1.58,-3.26,14.66,0,57.48
217,Tata Global ,222.65,6913.52,542.83,24.46,11.56,8.6,31.84,0.15,17.87,1.12,5.25,1.97,50.32,722.25,13881.54,14052.1,5.3,2.98,4.51,147.94,-1.5,4.66,17.55,3.97,34.46
218,Tata Inv.Corpn. ,773.35,280.57,214.66,19.85,90.4,38.96,46.4,0,,2.59,2.73,1.65,47.17,1699.68,4259.47,4261.16,304.4,4.59,9.13,641.65,8.49,7.28,16.8,0,72.98
219,Tata Motors ,262.4,303207.1,4028.86,16.65,10.46,12.75,0,0.93,1.98,0,-2.98,0.89,0.24,-607.62,137226.39,82889.83,1.17,1.02,13.04,291.5,9.31,-5.59,14.03,4.93,36.37
220,Tata Power Co. ,74,29094.5,4016.81,13.89,18.69,14.85,14.5,3.18,2.09,1.79,,1.18,26.69,,67418.79,20015.33,0.91,1.12,5.12,144.89,-2.43,,8.62,4.34,33
221,Tata Steel ,605.55,139875.83,18775.52,7.95,13.87,166.66,8.97,1.58,4.87,1.77,,1.13,16.36,,152431.09,68221.89,1.47,1.13,1.63,1417.58,-0.38,,5.37,3.51,33.12
222,TCS ,2043.95,127781,27292,28.67,26.74,71.28,37.06,0,858.9,1.22,2.2,8.45,35.88,2503.64,775627.63,782541.63,27.86,2.6,33.99,622.73,14.34,13.06,21.5,2.89,71.92
223,Tech Mahindra ,739.8,31713.12,3893.89,18.63,16.17,39.71,36.1,0.13,32.82,1.89,0.85,3.68,35.5,540.99,71904.36,72552.06,7.34,2.42,20.26,424.07,34.96,21.88,14.05,0,35.98
224,Thomas Cook (I) ,242.9,10459.55,6125.75,28.34,2.75,165.38,0.23,0.05,47.19,0.15,0.18,1.03,0.68,471.96,8329.67,8997.59,4.58,1.06,27.79,937.07,92.08,158.89,1.36,0,66.99
225,TI Financial ,561.15,3344.77,599.02,17.58,11.34,31.91,3.91,0.03,41.88,0.22,1.1,3.16,5.71,561.33,10379.68,10531.54,2.11,0.32,17.82,357.07,-15.41,15.99,28.78,0.11,48.76
S.No. ,Name ,CMP Rs. ,Sales Rs.Cr. ,NP 12M Rs.Cr. ,P/E ,OPM % ,EPS 12M Rs. ,Dividend Payout % ,Debt / Eq ,Int Coverage ,Div Yld % ,PEG ,CMP / BV ,Avg Div Payout 3Yrs % ,IV Rs. ,EV Rs.Cr. ,Mar Cap Rs.Cr. ,Altman Z Scr ,Current ratio ,ROE 3Yr % ,Graham Price Rs. ,Sales Var 5Yrs % ,Profit Var 5Yrs % ,EV / EBIT Rs. ,Pledged % ,Prom. Hold. % 
226,Titan Company ,826.45,16418.2,1192.1,61.32,10.68,13.43,29.46,0.33,32.2,0.45,6.46,13.54,30.17,1388.46,74444.19,73371.09,13.09,2.91,22.08,135.8,9.75,9.49,43.58,0,52.91
227,Trent ,359.4,2162.73,116.93,102.14,9.89,3.52,32.74,0.24,6.87,0.32,4.38,7.21,32.68,246.68,12304.58,11943.47,12.34,1.91,6.59,62.82,17.78,23.32,60.37,0,32.61
228,TTK Prestige ,6829,1807.86,158.5,49.77,13.24,137.22,13.64,0,148.01,0.44,12.26,7.59,19.02,26914.05,7789.91,7888.3,14.43,1.9,17.62,1666.78,6.3,4.06,32.9,0,70.41
229,Tube Investments ,295.65,5273.97,179.92,30.66,8.11,9.59,22.27,0.62,5.3,0.59,,4.16,10.42,,6300.92,5548.41,3.58,1.42,,123.86,,,20.42,0.11,47.89
230,TVS Motor Co. ,578.55,15883.85,679.73,40.44,7.71,14.31,23.66,0.41,15.26,0.57,1.37,9.08,23.06,314.19,28665.2,27486.92,5.89,0.85,25,143.22,16.11,29.47,29.38,0,57.4
231,Uflex ,311.95,6984.16,311.52,7.23,12.82,43.15,4.66,0.52,2.72,0.64,0.7,0.55,6.46,484.62,4016.48,2252.59,2.09,2.07,9.18,740.13,5.73,10.3,7.18,0,44.02
232,UltraTech Cem. ,4096.35,33397.54,1956.77,52.31,17.63,71.26,12.98,0.74,3.02,0.26,-48.89,4.16,11.11,-55739.97,131757.82,112496.37,3.26,0.73,10.84,1255.87,8.89,-1.07,30.26,0,61.98
233,United Breweries ,1315.45,5811.2,454.02,76.61,16.92,17.17,13.42,0.12,17.5,0.15,4.27,11.95,12.34,1171.84,35072.4,34780.5,12.09,1.53,13.73,206.21,7.55,17.96,46.97,23.06,57.72
234,United Spirits ,571.7,8400.2,580.1,72.25,11.17,7.98,0,1.3,4.56,0,10.58,16.07,0,1350.64,44672.64,41541.94,5.62,1.95,15.25,79.93,-0.3,6.83,39.68,3.38,56.76
235,UPL ,703.65,17789,2066,16.99,20.03,40.64,20.15,0.72,3.77,1.14,0.77,3.7,20.83,502.16,39516.87,35772.87,3.3,2.23,30.13,417.28,13.6,22,11.95,1.63,27.74
236,V I P Inds. ,522.2,1527.58,149.12,49.48,14.94,10.55,33.45,0,770.52,0.57,1.55,13.36,37.56,261.91,7355.79,7379.59,19.36,2.17,24.35,96.34,11.96,31.89,32.92,0,53.46
237,V-Guard Inds. ,198.55,2383.1,144.24,58.7,8.42,3.38,22.39,0,131.58,0.35,3.61,10.77,20.69,195.23,8463.75,8466.39,15.49,2.1,23.44,37.44,11.34,16.26,44.06,0,64.29
238,Varun Beverages ,814.75,4644.71,288.11,51.64,20.57,15.78,21.72,1.5,2.8,0.31,0.97,7.1,12.49,245.86,17439.36,14880.12,4.15,1.26,11.46,201.87,17.34,53.03,28.88,0.13,73.57
239,Vedanta ,223.6,95787,13868,6.83,23.11,37.31,76.26,0.92,4.54,9.49,0.26,1.26,49.71,152.48,136059.46,83116.46,1.29,0.88,1.15,385.36,101.74,26.74,5.25,0,50.14
240,Venky's (India) ,2543.9,2781.53,218.81,16.38,14.35,155.32,6.77,1.03,8.7,0.24,0.57,4.78,11.11,1412.92,3951.18,3583.68,5.84,2.57,14.83,1363.89,20.11,28.81,9.93,0,56.11
S.No. ,Name ,CMP Rs. ,Sales Rs.Cr. ,NP 12M Rs.Cr. ,P/E ,OPM % ,EPS 12M Rs. ,Dividend Payout % ,Debt / Eq ,Int Coverage ,Div Yld % ,PEG ,CMP / BV ,Avg Div Payout 3Yrs % ,IV Rs. ,EV Rs.Cr. ,Mar Cap Rs.Cr. ,Altman Z Scr ,Current ratio ,ROE 3Yr % ,Graham Price Rs. ,Sales Var 5Yrs % ,Profit Var 5Yrs % ,EV / EBIT Rs. ,Pledged % ,Prom. Hold. % 
241,Vodafone Idea ,46.2,26001.6,-3096.8,,18.58,-7.1,0,2.23,0.1,0,,0.93,6.83,,75114.73,20142.92,0.56,0.35,8.45,,12.79,,138.59,0,42.56
242,Voltas ,586,6607.85,577.05,33.55,10.5,17.44,23.12,0.04,73.69,0.68,1.4,4.74,22.63,390.56,19248.45,19389.85,4.95,1.31,15.56,220.29,2.98,23.97,23.51,0,30.3
243,VRL Logistics ,294.9,1958.91,83.02,32.09,11.34,9.19,0,0.14,15.28,0,2.15,4.32,30.72,315.41,2726.05,2664.23,9.17,1.04,17.76,118.87,7.72,14.96,20.16,0,68.05
244,VST Inds. ,3386,981.19,203.34,25.71,33.25,131.7,65.8,0,,2.29,2.92,8.13,70.62,6156.38,5190.39,5227.98,8.27,0.89,34.52,1111.16,7.22,8.8,16.6,0,32.16
245,VST Till. Tract. ,1999.4,728.3,98.16,17.6,15.57,113.62,38.58,0,80.89,2.5,1.08,2.83,25.71,1958.1,1710.09,1727.39,9.2,2.36,18.19,1344.32,9.65,16.34,12.22,0,53.99
246,WABCO India ,7004.6,2791.85,293.35,45.27,14.86,154.72,5.56,0,271.21,0.11,3.12,8.3,5.78,7723.42,12924.64,13280.72,15.02,1.96,18.48,1714.31,21.62,14.51,30.94,0,75
247,Westlife Develop ,379.7,1214.23,27.2,217.21,7.96,1.75,0,0.34,2.83,0,-8.69,10.67,0,-243.37,6080.61,5908.03,10.93,0.33,-2.71,37.44,10.53,-24.99,142,0,62.17
248,Whirlpool India ,1611,5019.03,381.76,53.54,11.7,30.09,14.47,0,104.09,0.25,2.39,10.43,9.85,1149.19,19456.91,20438.76,11.96,1.71,22.59,323.42,12.02,22.43,32.74,0,75
249,Wipro ,328.75,55091.6,8014.3,18.56,18.88,17.72,5.65,0.29,18.57,0.3,3.08,2.97,9.53,872.66,158136.75,148728.05,5.03,1.97,18.06,209.96,7.8,6.03,14.61,0,74.31
250,Wonderla Holiday ,299.3,272.03,45.52,37.16,37.83,8.06,22.03,0,59.6,0.5,14.46,2.1,19.23,1864.65,1670.23,1691.31,7.16,0.47,7.41,160.79,14.43,2.57,23.35,0,70.99
251,Zee Entertainmen ,463.85,6917.46,1521.09,31.41,31.55,15.84,18.83,0.2,18.48,0.63,2.14,5.65,16.24,542.27,44465.58,44551.08,10.17,3.72,20.75,171.08,12.56,14.68,17.78,52.08,41.62
252,Zee Learn ,38.8,315.08,60.56,20.89,37.84,1.86,8.81,0.82,4.73,0.25,,3.6,5.24,,1486.13,1265.13,3.72,1.2,8.4,21.25,24.01,,12.95,84.68,57.51
